Team,W,L,PCT,GB,HOME,AWAY,RS,RA,DIFF,STRK,L10
Houston Astros,107,55,0.66,-,60-21,47-34,920,640,280,W3,08岿 02老
LA Dodgers,106,56,0.654,1,59-22,47-34,886,613,273,W7,08岿 02老
NY Yankees,103,59,0.636,4,57-24,46-35,943,739,204,L2,04岿 06老
Minnesota Twins,101,61,0.623,6,46-35,55-26,939,754,185,L1,08岿 02老
Oakland Athletics,97,65,0.599,10,52-29,45-36,845,680,165,L1,06岿 04老
Atlanta Braves,97,65,0.599,10,50-31,47-34,855,743,112,L3,04岿 06老
TB Rays,96,66,0.593,11,48-33,48-33,769,656,113,L2,07岿 03老
Washington Nationals,93,69,0.574,14,50-31,43-38,873,724,149,W8,09岿 01老
Cleveland Indians,93,69,0.574,14,49-32,44-37,769,657,112,L5,04岿 06老
St.Louis Cardinals,91,71,0.562,16,50-31,41-40,764,662,102,W1,06岿 04老
Milwaukee Brewers,89,73,0.549,18,49-32,40-41,769,766,3,L3,07岿 03老
NY Mets,86,76,0.531,21,48-33,38-43,791,737,54,W3,07岿 03老
Arizona Diamondbacks,85,77,0.525,22,44-37,41-40,813,743,70,W5,08岿 02老
Boston Red Sox,84,78,0.519,23,38-43,46-35,901,828,73,W1,04岿 06老
Chicago Cubs,84,78,0.519,23,51-30,33-48,814,717,97,L1,02岿 08老
Philadelphia Phillies,81,81,0.5,26,45-36,36-45,774,794,-20,L1,03岿 07老
Texas Rangers,78,84,0.481,29,45-36,33-48,810,878,-68,W2,04岿 06老
San Francisco Giants,77,85,0.475,30,35-46,42-39,678,773,-95,L3,03岿 07老
Cincinnati Reds,75,87,0.463,32,41-40,34-47,701,711,-10,W2,04岿 06老
Chicago White Sox,72,89,0.447,34.5,39-41,33-48,708,832,-124,W1,07岿 03老
LA Angels,72,90,0.444,35,38-43,34-47,769,868,-99,L3,03岿 07老
Colorado Rockies,71,91,0.438,36,43-38,28-53,835,958,-123,W3,05岿 05老
San Diego Padres,70,92,0.432,37,36-45,34-47,682,789,-107,L6,01岿 09老
Pittsburgh Pirates,69,93,0.426,38,35-46,34-47,758,911,-153,L2,04岿 06老
Seattle Mariners,68,94,0.42,39,35-46,33-48,758,893,-135,W1,04岿 06老
Toronto Blue Jays,67,95,0.414,40,35-46,32-49,726,828,-102,W2,06岿 04老
KC Royals,59,103,0.364,48,31-50,28-53,691,869,-178,W1,03岿 07老
Miami Marlins,57,105,0.352,50,30-51,27-54,615,808,-193,W1,04岿 06老
Baltimore Orioles,54,108,0.333,53,25-56,29-52,729,981,-252,L1,05岿 05老
Detroit Tigers,47,114,0.292,59.5,22-59,25-55,582,915,-333,L1,02岿 08老
