#	선수명	팀명	승	패	세	홀드	블론	경기	선발	이닝	삼진/9	볼넷/9	홈런/9	BABIP	LOB%	ERA	RA9-WAR	FIP	kFIP	WAR
239	신정락	한화	5	1	0	5	1	44	1	44.2	7.05	4.23	1.21	0.309	63.1	5.84	-0.02	5.39	5.45	-0.23
240	최동환	LG	1	0	0	0	0	18	0	23.0	5.09	3.91	1.57	0.273	64.8	6.26	-0.14	6.23	6.45	-0.25
241	이승진	SK	0	0	0	1	0	17	2	19.0	6.63	6.16	1.42	0.305	58.4	8.05	-0.29	6.19	6.32	-0.26
242	윤지웅	NC	1	0	0	0	0	13	0	12.2	6.39	2.84	2.13	0.289	74.3	4.97	-0.05	6.24	6.27	-0.27
243	최하늘	롯데	0	1	0	0	0	2	1	2.0	4.50	9.00	9.00	0.286	23.8	27.00	-0.35	19.90	20.58	-0.27
244	홍성무	NC	0	0	0	0	0	15	0	14.1	6.28	6.91	1.88	0.273	74.6	6.28	-0.05	7.24	7.44	-0.28
245	송창현	한화	0	1	0	0	0	3	2	12.2	3.55	2.84	2.84	0.250	74.6	6.39	-0.07	7.66	7.91	-0.28
246	정성종	롯데	1	1	0	0	0	32	0	49.2	4.35	4.35	1.09	0.345	70.6	5.44	0.11	5.51	5.77	-0.29
247	박주홍	한화	0	4	0	1	1	29	6	38.1	6.34	5.63	1.88	0.344	60.8	7.98	-0.73	6.74	6.87	-0.30
248	양승철	KIA	1	1	0	0	0	11	1	16.1	6.06	8.27	1.65	0.357	47.3	12.12	-0.70	7.20	7.43	-0.32
249	박윤철	한화	0	1	0	0	0	15	3	30.0	6.60	9.00	1.20	0.209	72.9	5.10	0.23	6.97	7.23	-0.33
250	이형범	두산	6	3	19	10	2	67	0	61.0	4.57	2.95	0.59	0.276	75.6	2.66	1.96	4.52	4.73	-0.34
251	김범수	한화	5	9	1	1	1	45	16	103.0	7.34	5.33	1.31	0.319	70.3	5.68	1.28	5.70	5.75	-0.34
252	박근홍	롯데	1	0	0	1	0	24	0	17.2	5.60	8.66	2.55	0.229	77.8	6.11	0.11	8.72	9.02	-0.38
253	김대우	삼성	5	1	0	1	0	44	0	59.2	6.03	2.41	1.66	0.279	66.1	5.13	-0.09	5.51	5.56	-0.38
254	송은범	LG	2	6	1	9	0	63	0	60.0	5.40	3.60	0.90	0.361	69.7	5.25	0.35	4.60	4.70	-0.40
255	오현택	롯데	1	0	0	0	0	15	0	12.2	5.68	1.42	4.26	0.237	93.8	4.97	0.05	8.77	8.78	-0.42
256	엄상백	KT	2	3	0	0	1	26	0	31.1	5.74	6.89	1.72	0.330	62.9	8.04	-0.92	6.91	7.12	-0.71
257	김기훈	KIA	3	6	0	0	0	19	16	79.1	5.56	7.37	1.25	0.228	67.7	5.56	0.12	6.77	7.07	-1.13
